instrument_1,instrument_2,instrument_3,instrument_4,instrument_5,instrument_6,instrument_7,instrument_8,instrument_9,instrument_10,instrument_11,instrument_12,instrument_13,instrument_14,instrument_15,cost,generated_power
1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,2300,114
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3300,142
1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,2300,114
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2500,121
1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,2400,101
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2500,121
1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,2200,110
1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,2900,133
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3300,142
1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,2200,110
1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,2000,106
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2500,121
1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2900,130
1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,2100,95
1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1950,100
1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,2400,106
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3300,142
1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,2200,110
1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,2300,114
1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,2200,110
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3600,148
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3600,148
1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,2400,106
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2500,121
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3300,142
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3300,142
1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,3100,135
1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,2600,122
1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,3100,135
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,3500,133
1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,2200,110
1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1950,100
1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,2800,115
1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,2800,124
1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,2200,110
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2500,121
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2500,121
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3300,142
1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,2500,121
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,3300,142
